genres,id_spotify,artist,name,cover_art,isrc,preview_url,download_url
country,3jMSoTT2ZrLfkNQbOrHz9A,John Prine,In Spite of Ourselves,https://i.scdn.co/image/ab67616d0000b273d9fceabc8be1d9a666dbe85f,USA2A1003903,https://cdns-preview-a.dzcdn.net/stream/c-a02153118d7eddbf765ce5c33463b030-6.mp3,
"country,rock",1Msu7F4G7FAoViNE97sbHX,James Taylor,Steamroller,https://i.scdn.co/image/ab67616d0000b27349dba916e1dbc1b0368e2554,USQX91302217,https://cdns-preview-f.dzcdn.net/stream/c-f5d8c4c9b25179379ef78d2b49a510bd-2.mp3,
country,0adTN3vBO3pimO3yfxm9vg,Jason Aldean,Dirt Road Anthem,https://i.scdn.co/image/ab67616d0000b27316461ddea4dfcc3bef9d7ef8,US58E1000234,https://cdns-preview-2.dzcdn.net/stream/c-28ae9bc7249e075a3650f0da163f748b-5.mp3,
"rock,pop,country",3IibqExsPY4IGb6GosdRXz,Wilco,Poor Places,https://i.scdn.co/image/ab67616d0000b273ca812e1712f8b09c30351378,USNO10590321,https://p.scdn.co/mp3-preview/461a51422cc2739140c8b1de216ed3d5bd298db3?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,2mUsE8W3KSK35uLz7wlPk3,Lady Antebellum,Love This Pain,https://i.scdn.co/image/ab67616d0000b2735a8b541ca2a563671ff38ddf,USCN11000057,https://p.scdn.co/mp3-preview/fb0ebf910a198ad3adbab16c496099da96f04984?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,01AQjqYeAZup7rpE6YN97T,Skeeter Davis,The End Of The World,https://i.scdn.co/image/ab67616d0000b27359d218c167af673344e7b743,USRC19901069,https://p.scdn.co/mp3-preview/0628a628e6d2ca91933d91c94c4ebdfc6b7aed90?cid=0f3710c5e6654c7983ad32e438f68f9d,
"rock,country",3hsSJOwvSu6LF3YZE4IUo8,Sting,I Was Brought To My Senses,https://i.scdn.co/image/ab67616d0000b273cee60f7c1d6e24db528ed21b,USAM19601275,https://cdns-preview-8.dzcdn.net/stream/c-81bc460267a6c3440810661922ca9db1-4.mp3,
"pop,country",1wu5Nyfu06lLsl5mSyOo0p,Robbie Williams,Somewhere,https://i.scdn.co/image/ab67616d0000b2733f645dae54d893e743230bf4,GBFFG0900007,https://p.scdn.co/mp3-preview/2d76cbc51dec120f68ffbc8973cc3988213d4e00?cid=0f3710c5e6654c7983ad32e438f68f9d,
country,2O17vhQp6mrJESjVUziNce,Mary Chapin Carpenter,He Thinks He'll Keep Her,https://i.scdn.co/image/ab67616d0000b2731ce1d9a9efedf0a5e52c7448,USSM19200390,https://cdns-preview-7.dzcdn.net/stream/c-7064867653a58142cbd59a9adb700d03-10.mp3,
"rock,country,pop",3942cKAyy8fMb1UslSHfEl,Train,Let It Roll,https://i.scdn.co/image/ab67616d0000b273e59a44291ccb3342bb8e9ec7,USSM10019753,https://cdns-preview-1.dzcdn.net/stream/c-1d7d193c82e9c8ff59aeab96dbab7d67-5.mp3,
