name,artist,genres,id_spotify,cover_art,isrc,preview_url,download_url
The Messenger Of Love,Alireza Ghorbani,"classical,traditional,persian",6Mx54JqEpVNkBbyPNPhZnN,,IRIRA1201262,https://p.scdn.co/mp3-preview/b818dddac596db5c9abe9b54fbbe8d297006bec9?cid=0f3710c5e6654c7983ad32e438f68f9d,
Ashke Man,Shadmehr Aghili,"persian,pop",,https://assets.rjassets.com/static/mp3/shadmehr-aghili-ashke-man/6b2d656a6c54503.jpg,,,https://host1.media-rj.com/media/mp3/shadmehr-aghili-ashke-man/Shadmehr+Aghili+-+Ashke+Man.mp3
Migan Quf,Quf,"rap,persian",3vQWU64oh0iaT6BY3ZMfNE,,ushm81959716,https://p.scdn.co/mp3-preview/a5680575329be01aaf8a3d0a26537e4dafb4fa70?cid=0f3710c5e6654c7983ad32e438f68f9d,
Mano To,Rastin,"pop,classical,persian",,,,,
Dorooghe,Mazyar Fallahi,"pop,persian",6BR8M5X8018mzQl0ppNcdN,https://assets.rjassets.com/static/mp3/mazyar-fallahi-doroghe/1c4d5394.jpg,FRX201744741,https://p.scdn.co/mp3-preview/823bcb7e0c435841c5f24b5e653bc9ccec61c315?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/2130-1f3bb924d81138d.mp3
Parvaze Tehran Shiraz,Daal Band,"pop,traditional,persian",4N6dKOz6XK1PWAuPynkvJf,https://navaimg.b-cdn.net/2019/11/Daal-Band-Parvaze-Tehran-Shiraz.jpg,QZDA62070655,https://cdns-preview-2.dzcdn.net/stream/c-207c4e28d90a96996d67101b659b3395-2.mp3,https://cdn2.navahang.net/media/2019/mp3/11/lq/Daal%20Band%20-%20Parvaze%20Tehran%20Shiraz.mp3
Sekoote Nimeh Shab,Parvin,"pop,classical,persian",,,,,
Ghodrat Daste Khanoomas (feat. Gamno),Barobax,"pop,persian",,,,,
Invocation,Mamak Khadem,"traditional,persian",6twTfDo0WEHCKGIU6cL9YN,,US4R31137879,https://p.scdn.co/mp3-preview/1cced6f5addb682ee6207810f87c3f8dd247a5b9?cid=0f3710c5e6654c7983ad32e438f68f9d,
Ashin,Massoud Shaari,"traditional,persian",,,,,
Ghalbe kharaab (Remix),Atour,"persian,rap",,,,,
Foroud,Kayhan Kalhor,"classical,instrumental,traditional,persian",,,,,
Angizeh,Shahram Shokoohi,"pop,persian",5RoNfvZ0Wpjap31bBpJoGy,https://assets.rjassets.com/static/mp3/shahram-shokoohi-angizeh/4ee810c614f7273.jpg,FRX201781312,https://p.scdn.co/mp3-preview/f737626e634e690bc89ce31380e0385af7296f3b?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/21348-dd052a7b8190488.mp3
Modara - Original Mix,Shahram Shokoohi,"pop,persian",7iuTbHKKT7Je0rxlaPPPxq,,GBKQU1574209,https://p.scdn.co/mp3-preview/0ef58de2fe5bad1ba65eff1e06d287f269514a85?cid=0f3710c5e6654c7983ad32e438f68f9d,
Dobareh Eshgh(Morteza),Morteza,"pop,persian",40sVemvduWeaDUzOT9lEC0,https://navaimg.b-cdn.net/2015/11/Morteza-Dobareh-Eshgh.jpg,USPUP0813901,https://p.scdn.co/mp3-preview/ea450a7abdc2814e689e3b14826dc4a51f79c3bc?cid=0f3710c5e6654c7983ad32e438f68f9d,https://cdn2.navahang.net/media/artists/morteza/Morteza%20-%20Dobareh%20Eshgh.mp3
Bakhte Bidar,Banan,"rap,classical,traditional,persian",0qqsOje3itfVyosHaLPshr,,USBMF0962311,https://p.scdn.co/mp3-preview/1f9583583e3b492e19facf07697aa32123fbbf8e?cid=0f3710c5e6654c7983ad32e438f68f9d,
Dige Donbalam Nabash,Babak Rahnama,"pop,persian",71Gn2rf5OXostNhKu8o2zp,,GBGCA0800296,https://p.scdn.co/mp3-preview/b2ca7bb7a32925b0dca9cc200be0cce5bd63b441?cid=0f3710c5e6654c7983ad32e438f68f9d,
"Tasnif, Avaz & Saz (Santur,Kamancheh, Sehtar, Nay, Tar)",Parisa,"pop,classical,traditional,persian",4EcTs7sHebLChofvaGlTOq,,USBMF9622521,https://p.scdn.co/mp3-preview/c89e7500cc543d1c6d36c02cf28db909b6aa13cb?cid=0f3710c5e6654c7983ad32e438f68f9d,
Mah Saket,Nima Masiha,"pop,classical,persian",,,,,
Ye Boos Bede,Kamyar,"pop,persian",,https://assets.rjassets.com/static/mp3/kamyr-ye-boos-bede/d62ba40a.jpg,,,https://host1.media-rj.com/media/mp3/kamyar-ye-boos-bede/Kamyar+-+Ye+Boos+Bede.mp3
Tehroon Male Mast,TM Bax,"pop,rap,persian",3YmLUZYSdaIRlt9sAQn1wM,https://assets.rjassets.com/static/mp3/tm-bax-tehroon-male-mast/874a797a.jpg,ushm82023717,https://p.scdn.co/mp3-preview/6857aa80b5b58908f52a36b3a77cba38a9e6810d?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/2543-2b271cd834bfec8.mp3
Robâb,Ali Samadpour,"instrumental,persian",6HCPDzkIgI2CYtFLRgRZ7Y,,ES18G1251714,https://p.scdn.co/mp3-preview/af432f05fb2cc821077e17347513ac78dc83998b?cid=0f3710c5e6654c7983ad32e438f68f9d,
Ye Rahi Pishe Room Bezar,7th Band,"pop,classical,persian",,https://assets.rjassets.com/static/mp3/7-band-ye-rahi-pishe-room-bezar/03920344.jpg,,,https://host1.media-rj.com/media/mp3/mp3-256/2609-152ef25ec4347cb.mp3
Bon Bast,Raffi Shahbazian,"rock,instrumental,persian",,,,,
Dar Meydan (Ancheh Be Did Miayad),Ahmad Shâmlu,"traditional,persian",,,,,
Shaye-e,Masoud Emami,"pop,persian",,https://assets.rjassets.com/static/mp3/masoud-emami-shaye-e/1435b8367506279.jpg,,,https://host1.media-rj.com/media/mp3/masoud-emami-shaye-e/Masoud+Emami+-+Shaye-e.mp3
Be Man Che Han,Amir Tataloo,"pop,rap,persian",0KxVoifO5pn1SQOk36PlvG,https://assets.rjassets.com/static/mp3/amir-tataloo-be-man-che-han/847791e23f1f81f.jpg,FR59R1817012,https://p.scdn.co/mp3-preview/bb5488f9e0833ecda0bfc2001638bfea8d8e0045?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/49372-3c5755d5e4932c3.mp3
Vaghti Miay,Ali Lohrasbi,"pop,persian",089GTL61YEg31j3EmWT5hi,https://apin1mservice.com/image-application/ali-lohrasbi-vaghti-miay-mp3.jpg,FR59R1705457,https://p.scdn.co/mp3-preview/68d9e1f8f4ce922a97643c77eaea281116723c04?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/Artist/Ali Lohrasbi/Mp3/Ali Lohrasbi - Vaghti Miay [128] .mp3
Khodam Khastam,Roozbeh Bemani,"pop,persian",5ERUvmDNataZUNDzs1RGEY,https://assets.rjassets.com/static/mp3/roozbeh-bemani-khodam-khastam/a355d59bdc7a84d.jpg,FR2X41927636,https://p.scdn.co/mp3-preview/b92a573dae19840de39b46a87faade34b02168e6?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host2.media-rj.com/media/mp3/mp3-256/80879-fab5a7e049278a4.mp3
Poz (Ft Arash Saretan),Sohrab MJ,"rap,persian",,,,,
Tarang,Damahi,"rock,persian",1EJcVGDjP0Q9IPqozSNFhy,,uscgh1738364,https://p.scdn.co/mp3-preview/803268087fa949064dc22543e8b716726f910fbb?cid=0f3710c5e6654c7983ad32e438f68f9d,
Eshghe Daaghe Man,Benyamin,"pop,persian,rap",,https://assets.rjassets.com/static/mp3/benyamin-eshghe-daaghe-man/ad46d10502f335f.jpg,,,https://host1.media-rj.com/media/mp3/mp3-256/23812-abd13afa20ea6b7.mp3
Shayad Asheghesham,Meysam Ebrahimi,"pop,persian",0O3MnMRXTlO8Vk1tD4C75K,https://apin1mservice.com/image-application/meysam-ebrahimi-shayad-asheghesham-mp3.jpg,FR10S1787636,https://p.scdn.co/mp3-preview/e8e2171229d191b963d682b2c999d3012e28d5b9?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/artists/Meysam Ebrahimi/Mp3/Meysam Ebrahimi - Shayad Asheghesham [128].mp3
Bachehayeh Koocheh,Idin,"pop,persian",6JANFJlnytp7A6vaFqWzdc,https://assets.rjassets.com/static/mp3/idin-bachehayeh-koocheh/49ef1a6bc1ec932.jpg,USPUP1100040,https://p.scdn.co/mp3-preview/77a8116c9129ab5a5b305d6d3e96c07d2cef1e03?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/63032-cd2251b2ebb3dfb.mp3
Gole Goldoon (Az To Tanha Shodam),Simin Ghanem,"pop,persian",,,,,
Eshgh E Ziyadi,Homayra,"traditional,persian",,,,,
Moamaye Shaah - Titraje Aghazin,Salar Aghili,"classical,traditional,persian",,,,,
Hala,Nima Allameh,"pop,persian",4i8WlRtgNGdK4heDMq7IAt,,FR59R1837854,https://p.scdn.co/mp3-preview/6b35710ae4c24e76e9ac2852225da01b4f2d6cf9?cid=0f3710c5e6654c7983ad32e438f68f9d,
Noosh Afarin,Noosh Afarin,"pop,persian",,https://assets.rjassets.com/static/mp3/nooshafarin-shour-afarin/c02c65091f3b071.jpg,,,https://host1.media-rj.com/media/mp3/nooshafarin-shour-afarin/Nooshafarin+-+Shour+Afarin.mp3
Raze Meykadeh,Circo Cafe,"rock,persian",,,,,
Asheq Shodei Ey Del,Bijan Bijani,"classical,traditional,persian",7fLMgCOiQRYgBrUNsF0X2c,,US6R21430620,https://p.scdn.co/mp3-preview/779f9f42131c45e5aae63c58e65ff5fc0ec0b6dc?cid=0f3710c5e6654c7983ad32e438f68f9d,
Tragedy,Hatef,"pop,persian",7I75X6gocIZi9QyalYRCAW,,USPUP0810280,https://p.scdn.co/mp3-preview/4b01be43b9a1a543ffaa4eb771ee0add57401a11?cid=0f3710c5e6654c7983ad32e438f68f9d,
2. Naqsh Dar Naqsh - Image in the Image,Madjid Khaladj,"instrumental,traditional,persian",1TjPo38OkJq6fdXVoe0lD6,,ushm90692174,https://p.scdn.co/mp3-preview/033fbc7ade59f5f74a82d80856624b3b86b7e5ea?cid=0f3710c5e6654c7983ad32e438f68f9d,
Tehran (Ft PDC),Arta,"rap,persian",,https://navaimg.b-cdn.net/2014/02/Various-Artists-Tabar-f.jpg,,,https://cdn2.navahang.net/media/artists/albums/Various-Artists/Tabar/Arta%20-%20Tehran%20(Ft%20PDC).mp3
Cotton Candy,Persian Rugs,"rock,persian",4yQl6fS22byV1sbwyZADw1,,QM7281592785,https://p.scdn.co/mp3-preview/3b3f7b47357d15ffb268a7a8d33011b06344583c?cid=0f3710c5e6654c7983ad32e438f68f9d,
Ey Bad Ni [Nex1Music.IR],Alireza JJ & Sijal,"rap,persian",,,,,
Ogh,Safir,"rap,persian",,https://navaimg.b-cdn.net/2020/06/Safir-Ogh.jpg,,,https://cdn2.navahang.net/media/2020/mp3/06/lq/Safir%20-%20Ogh.mp3
One Mistake,Hoorosh Band,"pop,persian",,,,,
Asraar,Taham,"rap,persian",6NzCXGZLfZvgLNR5AwQp6E,,QM24S1909752,https://p.scdn.co/mp3-preview/3536a53f9f4889365a93b5e9f1234016c9ac299b?cid=0f3710c5e6654c7983ad32e438f68f9d,
Paike Sahari,Parvin,"pop,classical,persian",,,,,
Arezoo,Saeed Mohammadi,"pop,persian",0f34g35AvXW7Cl0Ja2kfQB,,USBMF0625322,https://p.scdn.co/mp3-preview/3e09b20d5e1414a7296b5128d01d596dce44ae01?cid=0f3710c5e6654c7983ad32e438f68f9d,
Bi To,Amir Azimi,"rock,persian,pop",2rucpHKBy0rJQiUEMqo9VI,https://assets.rjassets.com/static/mp3/amir-azimi-bi-to/8cddde86.jpg,QZNWR2048999,https://p.scdn.co/mp3-preview/c09e97eab85bd717f647603b820ee4f8c0806214?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/9985-fd290c515876cb9.mp3
